timestamp,frame_id,mr,parameter,original_prediction,transformed_prediction,difference,percent_change,status,severity,epsilon
2026-09-01 13:46:24.519283,30,blur,8.5,-1.6341867446899414,-1.6342307329177856,4.398822784423828e-05,0.0026917487288208907,PASS,LOW,0.05
2026-09-01 13:46:31.709836,60,blur,8.5,-1.6341867446899414,-1.6341899633407593,3.2186508178710938e-06,0.00019695722406006517,PASS,LOW,0.05
2026-09-01 13:46:38.610133,90,blur,8.5,-1.6341867446899414,-1.6342220306396484,3.528594970703125e-05,0.0021592347526584927,PASS,LOW,0.05
2026-09-01 13:46:45.447893,120,blur,8.5,-1.6343929767608643,-1.6344038248062134,1.0848045349121094e-05,0.0006637350298255732,PASS,LOW,0.05
2026-09-01 13:46:52.320334,150,blur,8.5,-1.6367995738983154,-1.6367899179458618,9.655952453613281e-06,0.0005899284621226647,PASS,LOW,0.05
2026-09-01 13:46:59.281081,180,blur,8.5,-1.6362426280975342,-1.636240839958191,1.7881393432617188e-06,0.00010928319674135535,PASS,LOW,0.05
2026-09-01 13:47:06.282986,210,blur,8.5,-1.6358131170272827,-1.6358120441436768,1.0728836059570312e-06,6.558713455210616e-05,PASS,LOW,0.05
2026-09-01 13:47:13.421142,240,blur,8.5,-1.6369030475616455,-1.6369024515151978,5.960464477539062e-07,3.641303524429457e-05,PASS,LOW,0.05
2026-09-01 13:47:20.334629,270,blur,8.5,-1.631783366203308,-1.6317991018295288,1.5735626220703125e-05,0.0009643201973625591,PASS,LOW,0.05
2026-09-01 13:47:27.201900,300,blur,8.5,-1.6325353384017944,-1.6325210332870483,1.430511474609375e-05,0.0008762509237679843,PASS,LOW,0.05
2026-09-01 13:47:34.255202,330,blur,8.5,-1.6367731094360352,-1.6367558240890503,1.728534698486328e-05,0.0010560618527146119,PASS,LOW,0.05
2026-09-01 13:47:41.154428,360,blur,8.5,-1.6379706859588623,-1.637967824935913,2.86102294921875e-06,0.00017466864499210915,PASS,LOW,0.05
2026-09-01 13:47:48.167607,390,blur,8.5,-1.6356066465377808,-1.635603666305542,2.9802322387695312e-06,0.00018220948312867228,PASS,LOW,0.05
2026-09-01 13:47:55.089297,420,blur,8.5,-1.6358007192611694,-1.6357989311218262,1.7881393432617188e-06,0.00010931271939666103,PASS,LOW,0.05
2026-09-01 13:48:02.274868,450,blur,8.5,-1.635300874710083,-1.6352936029434204,7.271766662597656e-06,0.00044467426932332253,PASS,LOW,0.05
2026-09-01 13:48:09.623001,480,blur,8.5,-1.6343274116516113,-1.6343237161636353,3.6954879760742188e-06,0.00022611660849361674,PASS,LOW,0.05
2026-09-01 13:48:16.385162,510,blur,8.5,-1.6343988180160522,-1.6343920230865479,6.794929504394531e-06,0.00041574463172925995,PASS,LOW,0.05
2026-09-01 13:48:23.013448,540,blur,8.5,-1.6340596675872803,-1.634053111076355,6.556510925292969e-06,0.0004012403612268432,PASS,LOW,0.05
2026-09-01 13:48:29.522466,570,blur,8.5,-1.631653904914856,-1.6316442489624023,9.655952453613281e-06,0.0005917888901953293,PASS,LOW,0.05
2026-09-01 13:48:35.841517,600,blur,8.5,-1.6327877044677734,-1.6327857971191406,1.9073486328125e-06,0.00011681539856280563,PASS,LOW,0.05
2026-09-01 13:48:42.469343,630,blur,8.5,-1.6331465244293213,-1.6331349611282349,1.1563301086425781e-05,0.000708037756140028,PASS,LOW,0.05
2026-09-01 13:48:49.082245,660,blur,8.5,-1.633057951927185,-1.6330690383911133,1.1086463928222656e-05,0.0006788771412776886,PASS,LOW,0.05
2026-09-01 13:48:55.577653,690,blur,8.5,-1.633348822593689,-1.6333438158035278,5.0067901611328125e-06,0.00030653507851626335,PASS,LOW,0.05
2026-09-01 13:49:02.237177,720,blur,8.5,-1.6337132453918457,-1.6337206363677979,7.3909759521484375e-06,0.0004524032261453236,PASS,LOW,0.05
2026-09-01 13:49:09.478013,750,blur,8.5,-1.6331473588943481,-1.6331427097320557,4.649162292480469e-06,0.00028467482866210525,PASS,LOW,0.05
2026-09-01 13:49:15.931712,780,blur,8.5,-1.6341867446899414,-1.634186863899231,1.1920928955078125e-07,7.2947120022246365e-06,PASS,LOW,0.05
2026-09-01 13:49:22.152574,810,blur,8.5,-1.6341867446899414,-1.6343079805374146,0.00012123584747314453,0.007418722106262456,PASS,LOW,0.05
2026-09-01 13:49:29.764171,840,blur,8.5,-1.6341867446899414,-1.6342312097549438,4.4465065002441406e-05,0.0027209275768297894,PASS,LOW,0.05
2026-09-01 13:49:36.979263,870,blur,8.5,-1.6341867446899414,-1.634186863899231,1.1920928955078125e-07,7.2947120022246365e-06,PASS,LOW,0.05
2026-09-01 13:49:43.374758,900,blur,8.5,-1.6341867446899414,-1.634198546409607,1.1801719665527344e-05,0.000722176488220239,PASS,LOW,0.05
