mr,range_change,range_percent_change,range_passed,difference,difference
,max,max,first,mean,max
BlurRelation,0.0005304813385009766,0.03242055651315611,True,0.00011022090911865235,0.0005304813385009766
BrightnessRelation,0.010118484497070312,0.620647797414009,True,0.002340540885925293,0.005351066589355469
ContrastRelation,0.009807705879211426,0.6015852525523416,True,0.002616863250732422,0.006242990493774414
DarkVisibiltyRelation,0.009185075759887695,0.5608429678989589,True,0.0023227035999298096,0.009654760360717773
FogRelation,0.009782671928405762,0.5973323358169015,True,0.0033976078033447266,0.009654760360717773
NoiseRelation,0.0011121034622192383,0.0679053088582659,True,0.00022288799285888672,0.0010727643966674805
RainRelation,0.0031505823135375977,0.19289281833065766,True,0.0013550758361816407,0.0030405521392822266
RotationRelation,0.011371731758117676,0.6976965786565479,True,0.0023813962936401365,0.008034467697143555
SnowRelation,0.004523634910583496,0.27744049726126685,True,0.0010334157943725586,0.002904653549194336
TemporalSmoothnessRelation,,,,0.00010669231414794922,0.00010669231414794922
TranslationRelation,0.011215925216674805,0.6848471314437566,True,0.002362680435180664,0.01062774658203125
