mr,range_change,range_percent_change,range_passed
BrightnessRelation,0.007866978645324707,0.48249217950728074,True
RotationRelation,0.0065604448318481445,0.4023607369694389,True
TranslationRelation,0.00196993350982666,0.12081862116221137,True
NoiseRelation,0.00032889842987060547,0.020171774631560738,True
BlurRelation,7.319450378417969e-05,0.0044891154852404105,True
ContrastRelation,0.007915019989013672,0.48543861849840764,True
RainRelation,0.0005859136581420898,0.03593485767093911,True
SnowRelation,0.004523634910583496,0.27744049726126685,True
FogRelation,0.0023573637008666992,0.14458022592936337,True
DarkVisibiltyRelation,0.0023120641708374023,0.1418019459873579,True
DarkVisibiltyRelation,0.007448911666870117,0.4568515801477724,True
TemporalSmoothnessRelation,,,
BrightnessRelation,0.006794929504394531,0.4167147232379089,True
RotationRelation,0.007318615913391113,0.4488310000657008,True
TranslationRelation,0.0028113126754760742,0.17241023365122116,True
NoiseRelation,0.0008988380432128906,0.05512331602129533,True
BlurRelation,0.00014901161193847656,0.009138480772761162,True
ContrastRelation,0.0068852901458740234,0.42225629797851133,True
RainRelation,0.00164794921875,0.10106428656212023,True
SnowRelation,0.003643035888671875,0.2234175779324649,True
FogRelation,0.002590179443359375,0.15884872818444362,True
DarkVisibiltyRelation,0.002411484718322754,0.14788986204174842,True
DarkVisibiltyRelation,0.006848692893981934,0.4200118871007212,True
BrightnessRelation,0.008539199829101562,0.5236790410378875,True
RotationRelation,0.006540536880493164,0.40110808389525265,True
TranslationRelation,0.0010249614715576172,0.06285727600574822,True
NoiseRelation,0.000498652458190918,0.030580598456855644,True
BlurRelation,0.0001112222671508789,0.006820869796855442,True
ContrastRelation,0.008217453956604004,0.503947500221475,True
RainRelation,0.0007606744766235352,0.046649485716757325,True
SnowRelation,0.0036661624908447266,0.22483282929527576,True
FogRelation,0.0025703907012939453,0.15763300595905363,True
DarkVisibiltyRelation,0.0024318695068359375,0.14913798912738588,True
DarkVisibiltyRelation,0.006951093673706055,0.42628608558911135,True
BrightnessRelation,0.0061637163162231445,0.3781661295843176,True
RotationRelation,0.011371731758117676,0.6976965786565479,True
TranslationRelation,0.004462480545043945,0.2737892059734909,True
NoiseRelation,0.000876307487487793,0.05376461113188897,True
BlurRelation,0.0004178285598754883,0.02563528254894175,True
ContrastRelation,0.006767988204956055,0.4152403798669384,True
RainRelation,0.0017257928848266602,0.10588359071641362,True
SnowRelation,0.0023881196975708008,0.14651971905932956,True
FogRelation,0.0018074512481689453,0.1108936245383894,True
DarkVisibiltyRelation,0.001745462417602539,0.10709038718448077,True
DarkVisibiltyRelation,0.006230831146240234,0.38228386541172255,True
BrightnessRelation,0.010118484497070312,0.620647797414009,True
RotationRelation,0.0033382177352905273,0.20475966389001524,True
TranslationRelation,0.0018312931060791016,0.11232789189295482,True
NoiseRelation,0.0010428428649902344,0.063965915784375,True
BlurRelation,9.047985076904297e-05,0.005549854833143647,True
ContrastRelation,0.009807705879211426,0.6015852525523416,True
RainRelation,0.0014557838439941406,0.08929489752615312,True
SnowRelation,0.004481077194213867,0.2748603994438336,True
FogRelation,0.0021729469299316406,0.1332842607358925,True
DarkVisibiltyRelation,0.0021430253982543945,0.13144893324825213,True
DarkVisibiltyRelation,0.007948517799377441,0.4875463382207101,True
BrightnessRelation,0.003756999969482422,0.22961039529632085,True
RotationRelation,0.007833361625671387,0.4787386941653935,True
TranslationRelation,0.00794994831085205,0.4858639310799702,True
NoiseRelation,0.0007306337356567383,0.044652941768344674,True
BlurRelation,0.0005304813385009766,0.03242055651315611,True
ContrastRelation,0.004642605781555176,0.2837345108774977,True
RainRelation,0.0028727054595947266,0.17556642041663728,True
SnowRelation,0.0016150474548339844,0.09870420216634584,True
FogRelation,0.007977843284606934,0.48756874236628,True
DarkVisibiltyRelation,0.007785320281982422,0.4758026302834156,True
DarkVisibiltyRelation,0.0007134675979614258,0.04360382713061557,True
BrightnessRelation,0.0029633045196533203,0.181266775330354,True
RotationRelation,0.007839083671569824,0.4795205518927005,True
TranslationRelation,0.0064858198165893555,0.3967407452489569,True
NoiseRelation,0.0007388591766357422,0.045196374346187715,True
BlurRelation,0.00023543834686279297,0.014401877917670334,True
ContrastRelation,0.004685044288635254,0.2865864324265123,True
RainRelation,0.0015552043914794922,0.09513260724755807,True
SnowRelation,0.001161813735961914,0.07106870996740004,True
FogRelation,0.006546378135681152,0.40044512701208423,True
DarkVisibiltyRelation,0.006380438804626465,0.39029453761390853,True
DarkVisibiltyRelation,0.001510024070739746,0.09236890510538234,True
BrightnessRelation,0.006737470626831055,0.41249825216285557,True
RotationRelation,0.00781714916229248,0.4786010277359293,True
TranslationRelation,0.0031832456588745117,0.1948926152288604,True
NoiseRelation,0.00021457672119140625,0.013137351886003396,True
BlurRelation,0.00025177001953125,0.015414492879577319,True
ContrastRelation,0.008272528648376465,0.5064814078495588,True
RainRelation,0.0031505823135375977,0.19289281833065766,True
SnowRelation,0.002709031105041504,0.16585906756079288,True
FogRelation,0.005190610885620117,0.31779254212242214,True
DarkVisibiltyRelation,0.005012392997741699,0.3068812415282138,True
DarkVisibiltyRelation,0.0036954879760742188,0.22625439359228072,True
BrightnessRelation,0.006108999252319336,0.3741572757733624,True
RotationRelation,0.006007790565490723,0.3679585572952064,True
TranslationRelation,0.007109642028808594,0.43544354539131513,True
NoiseRelation,0.0004576444625854492,0.028029305344689115,True
BlurRelation,0.00028228759765625,0.017289240702324515,True
ContrastRelation,0.007070183753967285,0.43302684831679256,True
RainRelation,0.0006506443023681641,0.03984994753094899,True
SnowRelation,0.0035963058471679688,0.22026259016373564,True
FogRelation,0.004721164703369141,0.28915670978668084,True
DarkVisibiltyRelation,0.004441261291503906,0.2720134930767746,True
DarkVisibiltyRelation,0.004942178726196289,0.3026931338838555,True
BrightnessRelation,0.004953861236572266,0.30248397630122176,True
RotationRelation,0.00798797607421875,0.4877477688899862,True
TranslationRelation,0.011215925216674805,0.6848471314437566,True
NoiseRelation,0.0011121034622192383,0.0679053088582659,True
BlurRelation,0.0003292560577392578,0.02010445525421057,True
ContrastRelation,0.006410717964172363,0.3914400036950333,True
RainRelation,0.002280712127685547,0.1392608392192457,True
SnowRelation,0.00230252742767334,0.14059288676143272,True
FogRelation,0.009782671928405762,0.5973323358169015,True
DarkVisibiltyRelation,0.009185075759887695,0.5608429678989589,True
DarkVisibiltyRelation,0.0019267797470092773,0.11764964166321704,True
