mr,severity
FogRelation,0.0032427489757537844
ContrastRelation,0.002664768695831299
BrightnessRelation,0.002401919364929199
RotationRelation,0.002355318069458008
DarkVisibiltyRelation,0.0022884237766265868
TemporalSmoothnessRelation,0.002243447303771973
TranslationRelation,0.002138041257858276
RainRelation,0.0013392460346221924
SnowRelation,0.0010565638542175293
NoiseRelation,0.00022134900093078613
BlurRelation,0.00012990117073059083
